sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
16,294247,-1,Feature 5,4,0.007585184585765236,-0.6378592848777771
16,294247,-1,FIS,5,0.01291792033471726,-0.5848117470741272
16,294247,-1,Ag,6,0.012592961357524177,-0.535987913608551
16,294247,-1,As,7,-0.019183515728766313,-0.4951726794242859
16,294247,-1,Au,8,-0.00036861546954922744,-0.37222200632095337
16,294247,-1,Cu,9,0.004287752952601363,-0.8963520526885986
16,294247,-1,Sb,10,0.00894007530424391,-0.2733602523803711
16,294247,-1,ΔT,11,-0.006851206115331662,0.29046693444252014
17,110563,-1,Feature 1,0,-0.009766277388104675,-0.010247079655528069
17,110563,-1,Feature 2,1,0.026631387507715112,1.8204011917114258
17,110563,-1,Feature 3,2,-0.1306368437095255,2.1911439895629883
17,110563,-1,Feature 4,3,0.021678375995287238,2.2695107460021973
17,110563,-1,Feature 5,4,0.004338627347463214,-0.6395540833473206
17,110563,-1,FIS,5,0.0024370152140590993,-0.5832383632659912
17,110563,-1,Ag,6,0.013546783001290408,-0.30125147104263306
17,110563,-1,As,7,-0.01514427591162865,-0.43872541189193726
17,110563,-1,Au,8,-0.02125645747477017,-0.310049831867218
17,110563,-1,Cu,9,0.010734926398935635,-0.2264174222946167
17,110563,-1,Sb,10,0.001035619594161166,-0.16953791677951813
17,110563,-1,ΔT,11,0.01264780840075308,-0.743157148361206
18,74445,-1,Feature 1,0,-0.006838765955011097,-0.009819542989134789
18,74445,-1,Feature 2,1,0.0064703269798806395,1.8296196460723877
18,74445,-1,Feature 3,2,-0.07296070354232723,2.2002575397491455
18,74445,-1,Feature 4,3,-0.01417623388719938,2.2801859378814697
18,74445,-1,Feature 5,4,0.0020069130872241037,-0.6442881226539612
18,74445,-1,FIS,5,-0.005606396057119024,-0.586193323135376
18,74445,-1,Ag,6,0.007352086921675554,-0.3010103106498718
18,74445,-1,As,7,-0.016935283952199908,-0.19016961753368378
18,74445,-1,Au,8,-0.033414618918509977,0.12817245721817017
18,74445,-1,Cu,9,-0.0013374798523896026,0.30956149101257324
18,74445,-1,Sb,10,0.0004439984489001933,-0.19741229712963104
18,74445,-1,ΔT,11,-0.004686945132494561,-0.15201592445373535
19,81548,-1,Feature 1,0,-0.003219115677681342,0.2820892333984375
19,81548,-1,Feature 2,1,-0.04125846557684665,-0.9688059687614441
19,81548,-1,Feature 3,2,0.06523787986813304,-1.2874869108200073
19,81548,-1,Feature 4,3,0.03751305402072793,-1.3544703722000122
19,81548,-1,Feature 5,4,-0.019095743258214958,0.7517600059509277
19,81548,-1,FIS,5,0.00572548048028519,-0.5716077089309692
19,81548,-1,Ag,6,0.0038965332909589143,-0.26268839836120605
19,81548,-1,As,7,-0.0049559027545333055,-0.38924726843833923
19,81548,-1,Au,8,-0.010454695600727034,-0.3479018211364746
19,81548,-1,Cu,9,0.01619750807745706,-0.20223581790924072
19,81548,-1,Sb,10,0.009242942839054151,-0.18416827917099
19,81548,-1,ΔT,11,0.011150075765035187,-0.44614213705062866
20,214877,-1,Feature 1,0,-0.011331312300650818,0.29453498125076294
20,214877,-1,Feature 2,1,-0.017184312227640882,0.12136845290660858
20,214877,-1,Feature 3,2,0.0279936440080913,-0.3320280611515045
20,214877,-1,Feature 4,3,0.00746017745580176,0.04111733287572861
20,214877,-1,Feature 5,4,-0.005750672692878621,0.48511219024658203
20,214877,-1,FIS,5,-0.0012935225195898905,-0.5861921906471252
20,214877,-1,Ag,6,0.001458488068645089,-0.17715664207935333
20,214877,-1,As,7,-0.009048013075039803,0.6746342778205872
20,214877,-1,Au,8,-0.02142308665207386,-0.3422514498233795
20,214877,-1,Cu,9,0.005396542235134825,0.6647059917449951
20,214877,-1,Sb,10,-0.0012882050434806932,0.5043648481369019
20,214877,-1,ΔT,11,0.020808397971882896,-0.7480235695838928
21,222922,-1,Feature 1,0,-0.06194011233699195,1.9304832220077515
21,222922,-1,Feature 2,1,0.013644932069260544,0.5854130983352661
21,222922,-1,Feature 3,2,0.005168650496580102,0.3102877736091614
21,222922,-1,Feature 4,3,-0.007740723153513342,-0.9508188366889954
21,222922,-1,Feature 5,4,0.00693097976865376,-2.462402105331421
21,222922,-1,FIS,5,0.020363936181179463,-0.13000036776065826
21,222922,-1,Ag,6,0.0035682495509714576,-0.2972118854522705
21,222922,-1,As,7,-0.012454249119067104,-0.736103892326355
21,222922,-1,Au,8,-0.02377876365804175,-0.25404268503189087
21,222922,-1,Cu,9,0.008122472718107029,0.3997410833835602
21,222922,-1,Sb,10,0.01219407162665478,-0.4196048378944397
21,222922,-1,ΔT,11,0.012522754164209936,0.43302837014198303
22,286200,-1,Feature 1,0,-0.012105775256116938,-0.026239173486828804
22,286200,-1,Feature 2,1,0.012135905525667831,-0.03823311999440193
22,286200,-1,Feature 3,2,0.038637058074827035,-0.3729740083217621
22,286200,-1,Feature 4,3,-0.0009905539730771765,-0.07685713469982147
22,286200,-1,Feature 5,4,-0.0034591307139027684,0.5207977294921875
22,286200,-1,FIS,5,0.001222996254419685,1.1190907955169678
22,286200,-1,Ag,6,-0.0013867203229236806,-0.17263470590114594
22,286200,-1,As,7,0.01132523256649455,-0.5249431729316711
22,286200,-1,Au,8,-0.024132901707012915,-0.25829410552978516
22,286200,-1,Cu,9,0.008709127986508056,-0.07815243303775787
22,286200,-1,Sb,10,0.009882379727081869,-0.04306517541408539
22,286200,-1,ΔT,11,0.018268253345624094,0.6686559915542603
23,38148,-1,Feature 1,0,-0.04185131919901909,0.6584829092025757
23,38148,-1,Feature 2,1,0.0690069547888672,1.524837613105774
23,38148,-1,Feature 3,2,0.009307748161529855,1.4383741617202759
23,38148,-1,Feature 4,3,-0.01878163741862786,1.4960166215896606
23,38148,-1,Feature 5,4,0.013670404429383939,-0.47955378890037537
23,38148,-1,FIS,5,-0.016103219998498307,0.7769287824630737
23,38148,-1,Ag,6,-0.0020449061596655533,-0.020190322771668434
23,38148,-1,As,7,0.0011500524010148306,0.17220264673233032
23,38148,-1,Au,8,-0.01609417265622919,-0.3235071301460266
23,38148,-1,Cu,9,-0.0050997875065483325,1.4135053157806396
23,38148,-1,Sb,10,-0.0290568631965016,0.7253308296203613
23,38148,-1,ΔT,11,0.01829379302554321,0.419500470161438
24,199906,-1,Feature 1,0,-0.02263187601136347,0.29453498125076294
24,199906,-1,Feature 2,1,-0.0016217621469350918,0.1214231550693512
24,199906,-1,Feature 3,2,0.02013204901519453,-0.33185362815856934
24,199906,-1,Feature 4,3,-0.001569981897830274,0.04127645865082741
24,199906,-1,Feature 5,4,-0.0018729406817348526,0.48502448201179504
24,199906,-1,FIS,5,0.00011163124888896043,-0.5861921906471252
24,199906,-1,Ag,6,0.009111108758564,-0.43332263827323914
24,199906,-1,As,7,-0.009803582197971698,-0.43366941809654236
24,199906,-1,Au,8,-0.01737155153859627,-0.3798733949661255
24,199906,-1,Cu,9,0.027713063983192635,-0.35328057408332825
24,199906,-1,Sb,10,0.011035883506120394,-0.36112719774246216
24,199906,-1,ΔT,11,0.00558914592921992,-0.2070491909980774
25,196394,-1,Feature 1,0,-0.01593316547958883,0.29453498125076294
25,196394,-1,Feature 2,1,0.0058198117964483355,0.1214231550693512
25,196394,-1,Feature 3,2,0.017229293283197257,-0.33185362815856934
25,196394,-1,Feature 4,3,0.0022456642407328157,0.04127645865082741
25,196394,-1,Feature 5,4,0.007392320751964052,0.48502448201179504
25,196394,-1,FIS,5,0.004098091586468146,-0.5861921906471252
25,196394,-1,Ag,6,0.0068486024558963125,-0.5429962873458862
25,196394,-1,As,7,-0.0008698737586505891,-0.5179113745689392
25,196394,-1,Au,8,-0.031238315891025315,-0.3938223123550415
25,196394,-1,Cu,9,0.028788784073738603,-0.7730656266212463
25,196394,-1,Sb,10,0.011557838810861257,-0.46210619807243347
25,196394,-1,ΔT,11,0.014227224170589225,-0.48497724533081055
26,52283,-1,Feature 1,0,-0.06906735618941039,1.101405143737793
26,52283,-1,Feature 2,1,0.07354021824136578,1.3330837488174438
26,52283,-1,Feature 3,2,0.003139360947932976,0.9451035857200623
26,52283,-1,Feature 4,3,-0.030188952393461917,0.9905955791473389
26,52283,-1,Feature 5,4,0.033349151505957624,-0.37388238310813904
26,52283,-1,FIS,5,-0.003857824769787971,-0.5861921906471252
26,52283,-1,Ag,6,-0.0001944256397770713,-0.03427867218852043
26,52283,-1,As,7,-0.003617420342152304,0.2854594588279724
26,52283,-1,Au,8,-0.028415473575878057,0.009533362463116646
26,52283,-1,Cu,9,-0.06914367686279703,1.2639570236206055
26,52283,-1,Sb,10,0.008117325334725024,-0.09561899304389954
26,52283,-1,ΔT,11,0.011333033182233831,0.05213180556893349
